CD03O030O 005228 PAULO FOLETTO                           Sim       PSB       Espírito Santo           280
CD03O030O 005228 ROSE DE FREITAS                         Sim       PMDB      Espírito Santo           282
CD03O030O 005228 SUELI VIDIGAL                           Sim       PDT       Espírito Santo           281
CD03O030O 005228 ALESSANDRO MOLON                        Não       PT        Rio de Janeiro           287
CD03O030O 005228 ALEXANDRE SANTOS                        Sim       PMDB      Rio de Janeiro           285
CD03O030O 005228 ALFREDO SIRKIS                          Sim       PV        Rio de Janeiro           321
CD03O030O 005228 ANTHONY GAROTINHO                       Sim       PR        Rio de Janeiro           289
CD03O030O 005228 AROLDE DE OLIVEIRA                      Sim       PSD       Rio de Janeiro           288
CD03O030O 005228 BENEDITA DA SILVA                       Sim       PT        Rio de Janeiro           291
CD03O030O 005228 CELSO JACOB                             Sim       PMDB      Rio de Janeiro           632
CD03O030O 005228 CHICO ALENCAR                           Não       PSOL      Rio de Janeiro           295
CD03O030O 005228 DELEY                                   Sim       PSC       Rio de Janeiro           562
CD03O030O 005228 DR. ADILSON SOARES                      Sim       PR        Rio de Janeiro           293
CD03O030O 005228 DR. CARLOS ALBERTO                      Não       PMN       Rio de Janeiro           529
CD03O030O 005228 DR. PAULO CÉSAR                         Sim       PSD       Rio de Janeiro           296
CD03O030O 005228 EDSON EZEQUIEL                          Sim       PMDB      Rio de Janeiro           298
CD03O030O 005228 EDSON SANTOS                            Não       PT        Rio de Janeiro           299
CD03O030O 005228 EURICO JÚNIOR                           Sim       PV        Rio de Janeiro           613
CD03O030O 005228 FERNANDO JORDÃO                         Sim       PMDB      Rio de Janeiro           557
CD03O030O 005228 FERNANDO LOPES                          Sim       PMDB      Rio de Janeiro           623
CD03O030O 005228 FRANCISCO FLORIANO                      Sim       PR        Rio de Janeiro           297
CD03O030O 005228 GLAUBER BRAGA                           Não       PSB       Rio de Janeiro           304
CD03O030O 005228 HUGO LEAL                               Sim       PSC       Rio de Janeiro           306
CD03O030O 005228 JAIR BOLSONARO                          Sim       PP        Rio de Janeiro           302
CD03O030O 005228 JANDIRA FEGHALI                         Sim       PCdoB     Rio de Janeiro           305
CD03O030O 005228 JEAN WYLLYS                             Não       PSOL      Rio de Janeiro           307
CD03O030O 005228 JORGE BITTAR                            Não       PT        Rio de Janeiro           310
CD03O030O 005228 LEONARDO PICCIANI                       Não       PMDB      Rio de Janeiro           312
CD03O030O 005228 LUIZ SÉRGIO                             Obstrução PT        Rio de Janeiro           313
CD03O030O 005228 MANUEL ROSA NECA                        Não       PR        Rio de Janeiro           614
CD03O030O 005228 MARCELO MATOS                           Sim       PDT       Rio de Janeiro           311
CD03O030O 005228 MIRO TEIXEIRA                           Sim       PDT       Rio de Janeiro           317
CD03O030O 005228 OTAVIO LEITE                            Sim       PSDB      Rio de Janeiro           316
CD03O030O 005228 PAULO FEIJÓ                             Sim       PR        Rio de Janeiro           577
CD03O030O 005228 RODRIGO MAIA                            Sim       DEM       Rio de Janeiro           322
CD03O030O 005228 ROMÁRIO                                 Sim       PSB       Rio de Janeiro           319
CD03O030O 005228 SERGIO ZVEITER                          Sim       PSD       Rio de Janeiro           320
CD03O030O 005228 SIMÃO SESSIM                            Sim       PP        Rio de Janeiro           327
CD03O030O 005228 STEPAN NERCESSIAN                       Sim       PPS       Rio de Janeiro           323
CD03O030O 005228 VITOR PAULO                             Sim       PRB       Rio de Janeiro           324
CD03O030O 005228 WALNEY ROCHA                            Sim       PTB       Rio de Janeiro           325
CD03O030O 005228 WASHINGTON REIS                         Sim       PMDB      Rio de Janeiro           326
CD03O030O 005228 ZOINHO                                  Sim       PR        Rio de Janeiro           328
CD03O030O 005228 ABELARDO CAMARINHA                      Abstenção PSB       São Paulo                329
CD03O030O 005228 ALEXANDRE LEITE                         Sim       DEM       São Paulo                334
CD03O030O 005228 ALINE CORRÊA                            Sim       PP        São Paulo                330
CD03O030O 005228 ANTONIO BULHÕES                         Sim       PRB       São Paulo                333
CD03O030O 005228 ANTONIO CARLOS MENDES THAME             Não       PSDB      São Paulo                332
CD03O030O 005228 ARLINDO CHINAGLIA                       Não       PT        São Paulo                336
CD03O030O 005228 ARNALDO FARIA DE SÁ                     Sim       PTB       São Paulo                337
CD03O030O 005228 ARNALDO JARDIM                          Sim       PPS       São Paulo                339
CD03O030O 005228 BRUNA FURLAN                            Sim       PSDB      São Paulo                335
CD03O030O 005228 CARLOS ROBERTO                          Sim       PSDB      São Paulo                569
CD03O030O 005228 CARLOS ZARATTINI                        Sim       PT        São Paulo                398
CD03O030O 005228 DELEGADO PROTÓGENES                     Sim       PCdoB     São Paulo                343
CD03O030O 005228 DR. UBIALI                              Sim       PSB       São Paulo                541
CD03O030O 005228 EDINHO ARAÚJO                           Não       PMDB      São Paulo                344
CD03O030O 005228 EMANUEL FERNANDES                       Sim       PSDB      São Paulo                352
CD03O030O 005228 FRANCISCO CHAGAS                        Sim       PT        São Paulo                626
CD03O030O 005228 GUILHERME CAMPOS                        Sim       PSD       São Paulo                357
CD03O030O 005228 GUILHERME MUSSI                         Sim       PSD       São Paulo                348
CD03O030O 005228 IARA BERNARDI                           Não       PT        São Paulo                618
CD03O030O 005228 IVAN VALENTE                            Não       PSOL      São Paulo                359
