CD03O038O 005235 CHICO DAS VERDURAS                      Abstenção PRP       Roraima                  3
CD03O038O 005235 NILMÁRIO MIRANDA                        Sim       PT        Minas Gerais             611
CD03O038O 005235 PAULO ABI-ACKEL                         Sim       PSDB      Minas Gerais             263
CD03O038O 005235 REGINALDO LOPES                         Sim       PT        Minas Gerais             272
CD03O038O 005235 RENATO ANDRADE                          Sim       PP        Minas Gerais             612
CD03O038O 005235 RENZO BRAZ                              Sim       PP        Minas Gerais             262
CD03O038O 005235 RODRIGO DE CASTRO                       Sim       PSDB      Minas Gerais             268
CD03O038O 005235 SARAIVA FELIPE                          Sim       PMDB      Minas Gerais             265
CD03O038O 005235 SILAS BRASILEIRO                        Sim       PMDB      Minas Gerais             636
CD03O038O 005235 STEFANO AGUIAR                          Sim       PSC       Minas Gerais             558
CD03O038O 005235 VITOR PENIDO                            Sim       DEM       Minas Gerais             532
CD03O038O 005235 WALTER TOSTA                            Sim       PSD       Minas Gerais             267
CD03O038O 005235 WELITON PRADO                           Sim       PT        Minas Gerais             270
CD03O038O 005235 CESAR COLNAGO                           Sim       PSDB      Espírito Santo           276
CD03O038O 005235 DR. JORGE SILVA                         Sim       PDT       Espírito Santo           278
CD03O038O 005235 IRINY LOPES                             Sim       PT        Espírito Santo           273
CD03O038O 005235 MANATO                                  Sim       PDT       Espírito Santo           275
CD03O038O 005235 PAULO FOLETTO                           Sim       PSB       Espírito Santo           280
CD03O038O 005235 SUELI VIDIGAL                           Sim       PDT       Espírito Santo           281
CD03O038O 005235 ADRIAN                                  Sim       PMDB      Rio de Janeiro           286
CD03O038O 005235 ALFREDO SIRKIS                          Não       PV        Rio de Janeiro           321
CD03O038O 005235 ANDREIA ZITO                            Sim       PSDB      Rio de Janeiro           283
CD03O038O 005235 ANTHONY GAROTINHO                       Sim       PR        Rio de Janeiro           289
CD03O038O 005235 AROLDE DE OLIVEIRA                      Sim       PSD       Rio de Janeiro           288
CD03O038O 005235 AUREO                                   Sim       PRTB      Rio de Janeiro           290
